id;name;lat;lon;city;address;website;description;image_url;google_place_id;google_rating;google_user_ratings_total;google_editorial_summary
gym_000068;Beckomberga utegym;59.361269;17.903973;Stockholm;Grafitgränd, 16860, Bromma;https://motionera.stockholm/hitta-utegym/utegym/beckomberga-utegym;Välkommen att träna på det nybyggda utegymmet i Beckomberga. Klicka på Mina favoriter för att jämföra dina sparade verksamheter. Utegymmet byggdes våren 2022. Redskapen gjorda i metall och trä och står på ett underlag av träflis. På redskapen finns skyltar med förslag på övningar. Utegymmet ligger i förlängningen av Grafitgränd i Beckomberga. Närmaste busshållplats är Styresman Sanders väg som ligger på Spångavägen.;https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/1bbf5184-7b14-4fa9-9315-68548a18e798.jpeg;ChIJO8dEiuqfX0YR9tZCDmGb_p0;4.7;6;
gym_000069;Beijers park;55.6073;13.04862;Malmö;Östra Fäladsgatan 42, 212 43 Malmö, Sweden;;Det här utegymmet vänder sig till äldre. Här finns sju olika redskap där man kan träna benmuskler, armmuskler, rygg, balans med mera.;;ChIJ2zAFbM6jU0YREmt5kkq5Jso;;;
gym_000070;Bellevue Utegym;55.5828885;12.9729824;Malmö;217 66 Malmö;;;;ChIJlSqYZQCnU0YR4oLNDRTwOiA;4.0;1;
gym_000071;Bergas utegym och aktivitetspark;58.3956025;15.6334511;Linköping;Knektgatan, 587 38 Linköping;;;;ChIJ6WFJ3uNuWUYRrsdH5J2OJao;4.0;80;
gym_000072;Berghemsparkens utegym;59.4407338;17.8316801;Järfälla;Östra, 177 70 Järfälla;https://www.jarfalla.se/fritidochkultur/idrottochmotion/utegym.4.7f4e632514d7659827a2562.html;;;;;;
gym_000073;Bergkristallen (utegym 2306);57.65265644211513;11.877814585687931;Göteborg;;https://goteborg.se/wps/portal/start/uppleva-och-gora/idrott-motion-och-friluftsliv/motion-och-halsa/utomhusmotion/hitta-utegym-och-utetraning?id=6325;Vid Bergkristallparken finns ett mindre utegym med tre maskiner för att träna styrka och rörelse. Utegymmet är även anpassat för seniora användare. Närmsta hållplats: Bergkristallen Vid Bergkristallparken finns ett mindre utegym med tre maskiner för att träna styrka och rörelse. Utegymmet är även anpassat för seniora användare.;https://s3.eu-north-1.amazonaws.com/gbg.serviceguiden/61e0a250cfc4d247cca967e3_62179025b10a7b0b2dfbec46_large.jpg;ChIJY8wlMACNT0YRKzETbvKnMZc;;;
gym_000074;Bergshamras utegym;59.3845534;18.0253629;Solna;Bergshamra, 170 71 Solna;;;;ChIJoazTHwCdX0YRupFPT1wXaZU;;;
gym_000075;Bergsjöns utegym;57.760447;12.058873;Göteborg;Tycho Brahes Gata, Västra Bergsjön, Nordost, Göteborg, Göteborgs Stad, Västra Götalands län, 415 56, Sverige;;;;;;;
gym_000076;Bergslagsgatans utegym;59.557547;15.0283876;Born;T 769, Born, Nora kommun, Örebro län, 713 33, Sverige;;;;;;;
gym_000077;Berrahallens utegym;58.50628;16.4291645;Vikbolandet;610 33 Vikbolandet;;;;;;;
gym_000078;Bettnessands utegym;63.6626465;20.0929402;Umeå;905 82 Umeå;https://www.umea.se/upplevaochgora/idrottmotionochfriluftsliv/friluftslivochmotion/utegym/bettnessand.4.27a2de8b172da059ace2144.html;Bettnessands havsbad är en av de mest populära stränderna i Umeå kommun. Det är en aktiv strand där du kan träna i utegymmet man här kan du också spela beachvolleyboll, beachfotboll, boule och badminton. Utegymmet har fem gymstationer där du kan träna hela kroppen.;https://www.umea.se/upplevaochgora/idrottmotionochfriluftsliv/friluftslivochmotion/utegym/bettnessand.4.27a2de8b172da059ace2144.html;ChIJmcuQFQr3fEYREA-8tOhwWf8;4.5;4;
gym_000079;Billebergas utegym;55.8824996;13.0069792;Billeberga;Löparevägen 12, 268 73 Billeberga;;;;;;;
gym_000080;Bjärreds Parkourpark;55.7222391;13.0185784;;Bjärreds Parkourpark, Kamrersvägen, Nya Bjärred, Bjärred, Lomma kommun, Skåne län, 237 31, Sverige;;;;;;;
